"","longitude","latitude","name","values"
"433",-112.03745,33.63364,"PHOENIX 13.5 N",0
"434",-111.95786,33.77586,"CAVE CREEK 3.8 S",0
"435",-111.89299,33.38991,"TEMPE 1.4 SSE",0
"436",-110.92464,32.50675,"TUCSON 19.8 N",2
"437",-112.35688,33.66675,"SUN CITY WEST 1.0 WNW",0
"438",-110.65932,31.66459,"SONOITA 1.0 S",2
"439",-111.07567,32.45267,"MARANA 8.6 E",0
"440",-112.26384,33.61473,"SUN CITY 1.2 NNE",0
"441",-110.89598,32.31886,"TUCSON 7.0 NNE",1
"442",-112.2188,34.6828,"PRESCOTT VALLEY 7.2 NE",1
"443",-111.04286,31.50053,"RIO RICO 4.6 WNW",2
"444",-110.43093,34.96836,"JACK RABBIT",1
"445",-113.97761,35.22509,"KINGMAN 5.1 NE",0
"446",-110.26714,31.52687,"SIERRA VISTA 2.5 SE",1
"447",-110.83212,32.19684,"TUCSON 5.4 ESE",1
"448",-110.14613,31.44939,"HEREFORD 2.9 WNW",1
"449",-111.63932,35.19766,"FLAGSTAFF 0.8 NE",0
"450",-110.97337,32.277,"TUCSON 5.0 NW",1
"451",-111.92718,33.59402,"SCOTTSDALE 6.8 NNW",0
"452",-111.60201,33.59785,"FORT MCDOWELL 4.9 ESE",1
"453",-111.81314,33.32918,"GILBERT 2.4 SW",0
"454",-111.75293,33.58658,"FOUNTAIN HILLS 3.0 WSW",1
"455",-112.20207,33.64246,"GLENDALE 7.9 N",0
"456",-112.14829,34.5688,"DEWEY-HUMBOLDT 5.9 ENE",1
"457",-110.85616,32.23362,"TUCSON 3.8 ENE",2
"458",-110.78109,31.9423,"VAIL 6.2 SW",3
"459",-112.33944,34.66313,"PRESCOTT VALLEY 4.0 NNW",1
"460",-111.5851,33.20274,"QUEEN CREEK 3.7 SE",0
"461",-110.80272,32.28785,"TUCSON 8.3 NE",1
"462",-111.43531,33.34924,"GOLD CANYON 1.1 SE",1
"463",-111.99222,33.48796,"PHOENIX 5.6 NE",0
"464",-111.87712,33.34194,"CHANDLER 3.6 NW",0
"465",-114.45,32.5,"YUMA AUXILIARY AIRFIELD",0
"466",-112.4662,34.57442,"PRESCOTT 2.4 N",1
"467",-112.50099,34.66422,"PRESCOTT 8.9 NNW",1
"468",-112.50374,34.57927,"PRESCOTT 3.7 NW",2
"469",-112.5026,34.6342,"PRESCOTT 6.9 NNW",1
"470",-112.46186,34.57664,"PRESCOTT 2.5 N",1
"471",-109.2448,33.9471,"NUTRIOSO 2.1 W",0
"472",-111.1584,33.27989,"BOYCE THOMPSON ARBORETUM",0
"473",-112.56516,33.44769,"BUCKEYE 5N",0
"474",-112.5722,34.5529,"PRESCOTT 6.4 W",1
"475",-110.96522,32.23495,"TUCSON 2.8 WNW",2
"476",-112.00451,33.64744,"PHOENIX 14.8 NNE",0
"477",-111.50767,33.00689,"COOLIDGE 2.6 N",0
"478",-111.87793,33.20618,"SUN LAKES 0.9 SSW",0
"479",-110.99892,31.82722,"GREEN VALLEY 1.9 SSW",1
"480",-111.00899,31.84392,"GREEN VALLEY 1.2 SW",2
"481",-112.5522,33.42205,"BUCKEYE 3.9 NNE",0
"482",-110.27304,31.50916,"SIERRA VISTA 3.2 SSE",0
"483",-109.40315,34.40776,"ST JOHNS 3.5 SSW",0
"484",-110.80395,32.29806,"TUCSON 8.7 NE",1
"485",-110.87207,32.53638,"SADDLEBROOKE 0.7 ENE",2
"486",-110.78155,32.23293,"TUCSON 8.1 E",0
"487",-111.00205,31.4474,"RIO RICO 2.1 SW",1
"488",-111.13654,32.37722,"TUCSON 16.7 NW",0
"489",-112.18236,33.54959,"GLENDALE 1.4 N",1
"490",-112.15838,34.34465,"MAYER 5.7 SE",0
"491",-111.50091,32.3905,"AVRA VALLEY 11.2 WSW",1
"492",-112.41624,34.5339,"PRESCOTT 2.5 E",1
"493",-110.96529,32.24675,"TUCSON 3.2 NW",0
"494",-110.80736,32.24225,"TUCSON 6.8 ENE",2
"495",-112.32577,33.66501,"SUN CITY WEST 0.9 ENE",0
"496",-110.87884,33.39182,"MIAMI 1.1 W",0
"497",-110.99416,32.39028,"ORO VALLEY 2.0 W",1
"498",-112.0695,33.61485,"PHOENIX 12.1 N",0
"499",-109.06459,33.70534,"ALPINE 11.0 SSE",0
"500",-112.56517,33.44768,"BUCKEYE 5.4 N",0
"501",-110.26245,31.50986,"SIERRA VISTA 3.5 SE",1
"502",-111.29208,33.86507,"TONTO BASIN 1.5 NE",0
"503",-111.11536,32.12388,"TUCSON 13.2 WSW",2
"504",-112.51643,34.58273,"PRESCOTT 4.4 NW",1
"505",-111.93999,33.63627,"SCOTTSDALE 9.8 NNW",0
"506",-111.57845,33.43293,"APACHE JUNCTION 2.7 NW",1
"507",-110.87723,32.31559,"TUCSON 7.1 NNE",3
"508",-111.72933,35.3835,"FLAGSTAFF 14N",1
"509",-111.1542,32.38706,"MARANA 4.9 SE",0
"510",-110.34519,31.83297,"BENSON 9.4 SSW (MAINTENANCE)",2
"511",-110.9606,31.8562,"GREEN VALLEY 2.0 E",1
"512",-110.34899,31.8362,"BENSON 9.2 SSW (HUMMINGBIRD GARDEN)",3
"513",-111.22322,32.33681,"PICTURE ROCKS ESTATE 0.5 NNE",0
"514",-110.534,31.66677,"ELGIN 0.7 NW",3
"515",-109.55179,31.34465,"DOUGLAS 0.8 WNW",1
"516",-111.33823,34.24751,"PAYSON 1.6 NW",1
"517",-111.2363,32.26725,"TUCSON 18.8 W",0
"518",-111.04591,31.79634,"GREEN VALLEY 4.9 SW",2
"519",-112.50583,34.66,"PRESCOTT 8.7 NNW",1
"520",-110.80252,32.19841,"TUCSON 7.0 ESE",2
"521",-112.80555,34.03769,"WICKENBURG 7.3 NW",1
"522",-112.33372,34.63346,"PRESCOTT 9.7 NE",1
"523",-110.53938,34.41542,"OVERGAARD 1.8 NE",0
"524",-112.43378,34.54377,"PRESCOTT 1.5 E",0
"525",-111.01344,32.3325,"TUCSON 9.5 NW",1
"526",-111.11228,31.9906,"SAHUARITA 9.9 WNW",1
"527",-112.51281,34.63774,"PRESCOTT 7.4 NNW",1
"528",-111.72637,33.59657,"FOUNTAIN HILLS 1.3 SW",0
"529",-110.94197,32.24909,"TUCSON 2.4 NNW",2
"530",-110.79585,32.18299,"TUCSON 7.7 ESE",1
"531",-110.7625,32.2886,"TUCSON 10.4 ENE",1
"532",-112.48312,34.62035,"PRESCOTT 5.7 NNW",1
"533",-110.97106,31.83614,"GREEN VALLEY 1.9 SE",2
"534",-112.86829,32.37172,"AJO 0.4 W",2
"535",-111.96866,33.68857,"CAVE CREEK 9.8 S",0
"536",-112.09371,33.4865,"PHOENIX 3.5 NNW",0
